Property_Type,Energy_Rating,Energy_Score,Gross_Floor_Area_Buildings_SQ_FT,No_of_Buildings,Electricity_Use_kBtu,Natural_Gas_Use_kBtu,District_Steam_Use_kBtu,District_Chilled_Water_Use_kBtu,Site_EUI_kBtu_per_sq_ft,Source_EUI_kBtu_per_sq_ft,Weather_Normalized_Site_EUI_kBtu_per_sq_ft,Weather_Normalized_Source_EUI_kBtu_per_sq_ft,Total_GHG_Emissions_Metric_Tons_CO2e,GHG_Intensity_kg_CO2e_per_sq_ft
Multifamily Housing,4,74,56894,1,342148.2,3509535.7,0,0,67.7,81.6,74.2,87.9,235.3,4.1
Office,4,81,953318,1,20828182.1,348220.9,0,0,48,133,50.1,139,2993.3,6.8
Office,4,83,985092,1,17610775.3,19648666.4,0,0,69.2,130,74.4,135.4,3558.9,6.6
Office,3,67,729676,1,22727376.4,263351,0,0,55.1,153.1,56.1,156,3260.1,7.8
Hospital (General Medical & Surgical),2,42,1511148,2,89145358.1,168214837.7,0,0,234.8,388.9,237.5,386,21667,19.8
Office,4,83,1286867,1,32663584.4,74396.4,0,0,42.6,119,44.7,125.1,4669.2,6.1
Multifamily Housing,4,98,61700,1,769727.1,1882710,0,0,43,67,43.7,66.6,209.9,3.4
Multifamily Housing,1,23,59310,1,893606.2,6485650.1,0,0,124.4,157,133.9,165.4,472.1,8
Multifamily Housing,1,20,59310,1,1183554.6,5977739.7,0,0,120.7,161.7,128.7,168.3,486.5,8.2
Office,2,48,1219035,1,42525154.9,47911280.4,0,0,79.3,148.5,83.8,153.3,8618.5,7.6
Office,2,47,1297388.2,1,38880081.2,54170221.8,0,0,80.1,142.7,85.2,148.1,8430.3,7.3
Multifamily Housing,1,12,59310,1,1477348.2,6179500.1,0,0,129.1,179.1,139.4,189.9,539.2,9.1
Office,3.5,77,3457865,1,82280448.2,76821702.6,0,63680135.9,69.8,115.6,69.7,115.7,19200.1,6
Office,3.5,76,3135770,1,129982801.4,349864.4,0,0,43.9,122.8,43.9,122.8,18583.6,6.3
Office,3.5,73,1566471,1,68091339.2,0,0,0,47.5,133,49.2,137.8,9725.2,6.8
Office,2.5,59,2144478,1,88161951.5,0,0,33249275.3,72.5,165.5,73,171.2,14344.1,8.6
Office,3,69,1636819,1,71670458.9,18180,0,0,44.8,125.3,46.6,130.5,10237.4,6.4
Office,3,68,1778504,1,140809555,84598.3,0,0,85.3,238.6,86.8,242.9,20115.8,12.2
Office,4,83,1559966,1,57806615.8,0,0,0,50.1,140.3,52.1,145.9,8256.3,7.2
Multifamily Housing,4,100,895265,1,13590681.8,9629215.9,0,0,25.9,53.8,25.3,51.9,2452.6,2.7
Office,2.5,58,1855810,1,88550578.3,0,0,0,47.7,133.6,49.1,137.6,12647.4,6.8
Office,3,67,778175,1,37782986.7,713673.1,0,0,51.9,143.7,54.6,151,5434.3,7.3
Retail Store,3.5,77,1841736,1,53460376.1,49580374.7,0,0,55.9,109.5,58.5,112.2,10269,5.6
Office,3.5,80,1797097,1,82186345.3,331271.4,0,0,48.9,136.6,50.7,141.7,11756,7
Office,3.5,80,1055404,1,49900500,64191.3,0,0,57.2,160,59.6,166.5,7137.7,8.2
Office,4,84,1048792,1,38219074.4,0,0,0,40.5,113.5,41.4,115.8,5458.7,5.8
Office,2,42,1193163,1,75107161.8,41072904.5,0,0,97.4,212.4,102.3,217.6,12908.9,10.8
