Property_Type,Energy_Rating,Energy_Score,Gross_Floor_Area_Buildings_SQ_FT,No_of_Buildings,Electricity_Use_kBtu,Natural_Gas_Use_kBtu,District_Steam_Use_kBtu,District_Chilled_Water_Use_kBtu,Site_EUI_kBtu_per_sq_ft,Source_EUI_kBtu_per_sq_ft,Weather_Normalized_Site_EUI_kBtu_per_sq_ft,Weather_Normalized_Source_EUI_kBtu_per_sq_ft,Total_GHG_Emissions_Metric_Tons_CO2e,GHG_Intensity_kg_CO2e_per_sq_ft
Medical Office,1,17,73125,1,6972111.5,4483.3,0,0,130.6,365.6,130.7,365.7,996,18.7
Supermarket/Grocery Store,4,83,54316,1,7211869.3,3431561.6,0,0,196,438.1,197.5,439.7,1212.3,22.3
Multifamily Housing,1,14,81094,1,2555724.5,7067395.5,0,0,118.7,179.8,129.2,190.8,740.4,9.1
Supermarket/Grocery Store,4,64,55129,1,8958151.4,4768537.7,0,0,249,545.8,257.6,554.8,1532.7,27.8
Retail Store,2,49,138082,1,5077223.2,10689566.2,0,0,114.2,184.2,123.6,191.5,1292.9,9.4
Retail Store,4,67,167560,1,5534526.7,9975154.6,0,0,92.6,155,98.2,159.7,1320.3,7.9
Supermarket/Grocery Store,4,74,71923,1,8850362.9,6104900.1,0,0,207.9,433.7,215.8,438.8,1588.3,22.1
Retail Store,1,30,52424,1,8022137.4,3369999.6,0,0,217.3,496,221.6,497,1324.8,25.3
Multifamily Housing,3.5,73,176144,1,4073443.5,8119910.4,0,0,69.2,113.2,72.4,115.3,1013.1,5.8
Supermarket/Grocery Store,4,81,52748,1,5783575.4,3778899.9,0,0,181.3,382.2,189.2,390.5,1026.8,19.5
Multifamily Housing,1,9,141982,5,8995055.6,4328862.9,0,0,93.8,209.4,99.9,222.6,1514.7,10.7
Office,3,68,126000,1,6863217.5,0,0,0,54.5,152.5,54.5,152.5,980.2,7.8
Office,4,71,111550,1,5133899.9,0,0,0,46,128.9,46.8,131.1,733.3,6.6
Multifamily Housing,2,41,62088,2,1718522.7,5567734.5,0,0,117.4,171.7,124.1,176.4,541.2,8.7
Supermarket/Grocery Store,4,72,54963,1,6817739,6371170.1,0,0,240,469,246.9,472.4,1312.2,23.9
Supermarket/Grocery Store,3,45,104000,0,8368881.9,5633538.7,0,0,259.3,543.5,264.3,545,1494.5,27.7
Senior Living Community,1,10,103076,1,4506562.8,11972499.9,0,0,226.2,345.8,235.4,352.1,1279.6,17.6
Senior Living Community,4,97,100000,1,4414080.5,0,0,0,44.1,123.6,42.9,120.2,630.4,6.3
Office,3.5,51,82717,1,4626945,5417799.9,0,0,121.4,225.4,123.8,224.9,948.6,11.5
Senior Living Community,4,83,56000,1,2031358.1,4697493.1,0,0,120.2,189.6,120.2,189.6,539.6,9.6
Supermarket/Grocery Store,4,67,74182,1,10388526.6,5076000.2,0,0,208.5,464,214.6,466.7,1753.4,23.6
Multifamily Housing,4,100,60000,1,730887.6,1197848.4,0,0,38.6,66.1,40.3,67.9,168,3.4
Senior Living Community,1,7,77004,1,3832249.2,11074439,0,0,222.5,333.7,237,344.8,1135.6,16.9
Multifamily Housing,4,91,158777,1,2235887,4473770.6,0,0,42.9,70,45.1,72,557,3.6
Senior Living Community,2,27,97826,1,5300651.2,7152400,0,0,127.3,228.5,130.2,228.7,1137,11.6
Office,3,46,111033,1,7361263.8,2387600.1,0,0,87.8,208.2,89.6,211.2,1178.2,10.6
Hotel,4,87,73250,1,2619344.3,3667408.5,0,0,85.8,152.7,89.8,156.8,568.9,7.8
Office,4,94,92741,1,3154145.3,1675700.2,0,0,52.1,114.2,54,116.2,539.5,5.8
Office,4,89,67879,1,1672576,1100795.4,0,0,40.9,86,40.9,86,297.4,4.4
Office,3.5,75,113151,1,5426973.7,0,0,0,48,134.3,50.1,140.4,775.1,6.9
Multifamily Housing,3.5,76,56000,1,2151838.5,1091561.4,0,0,57.9,128.1,62,134,365.3,6.5
Multifamily Housing,3,70,99552,1,3618357.8,0,0,0,36.3,101.8,37.9,106.1,516.8,5.2
Office,1,17,58044,1,5458831.5,420557.4,0,0,101.3,270.9,101.3,270.9,802,13.8
Office,3.5,77,149904,1,3878444.3,6210540.3,0,0,73.3,126.4,79.1,132.4,883.8,6.4
Office,4,98,62555,1,233128.3,2137763.2,0,0,37.9,46.3,41.7,50,146.8,2.3
Senior Living Community,2,24,153502,1,3606876.4,12329229.8,0,0,124.4,179.9,131.1,185.3,1170,9.1
Senior Living Community,1,5,68280,1,2541420,8403099.8,0,0,214.6,312.5,229.6,325.5,809.3,15.9
Retail Store,4,99,60000,1,753611.9,1560690,0,0,38.6,62.5,38.8,63.1,190.5,3.2
Retail Store,2.5,51,103580,1,3969305.8,7933288.1,0,0,114.9,187.7,123.1,194.8,988.3,9.5
Senior Living Community,3,45,62700,1,1994529,4977199.9,0,0,111.4,172.7,116.2,175.7,549.2,8.8
Office,3,68,105000,1,5749752.3,0,0,0,54.8,153.3,54.8,153.3,821.2,7.8
Multifamily Housing,4,100,137130,1,1416999.8,2505594.7,0,0,28.6,48.1,29.3,47.8,335.5,2.4
Multifamily Housing,4,93,261656,1,3464974.7,6821771.4,0,0,49.5,81.1,51.4,81.8,857.2,4.1
Office,2.5,56,165957,1,14832417.8,0,0,0,89.4,250.3,89.4,250.3,2118.5,12.8
Multifamily Housing,4,94,80000,1,1091925.3,2591060.7,0,0,54.2,85,56.7,86.3,293.6,4.3
Senior Living Community,1,2,85771,1,5420064.4,12165703.4,0,0,241.6,384,252.9,390.6,1420.3,19.5
Supermarket/Grocery Store,2.5,57,61732,1,8075559.1,6974072.9,0,0,243.8,484.9,250.5,488.8,1523.8,24.7
Office,4,99,91200,1,668054.2,2455985,0,0,34.3,48.8,0,0,225.9,2.5
Multifamily Housing,3,68,57000,1,1205478.7,4078144.7,0,0,92.7,134.3,98.1,138.8,388.8,6.8
Multifamily Housing,4,100,157420,1,1104856.8,4003657.2,0,0,38.1,54.5,40.2,55.8,370.5,2.8
Retail Store,4,100,130000,1,2089055,852500,0,0,22.6,51.9,23.4,52.7,343.7,2.6
Multifamily Housing,4,91,145000,1,2339197.9,4076195.1,0,0,53.5,90.2,55.5,91.1,550.6,4.6
Multifamily Housing,1.5,37,164122,1,3165181.7,16024479.4,0,0,116.9,156.5,126.2,164.6,1303.2,7.9
Multifamily Housing,4,85,54000,1,676988.6,2127103.2,0,0,51.9,76.5,55.2,78.4,209.7,3.9
Office,4,100,51000,1,327463,0,0,0,6.4,18,0,0,46.8,0.9
Multifamily Housing,1,28,178336,1,5168446.4,7379504.5,0,0,70.4,124.6,73.6,126.9,1130.2,6.3
Office,3,50,215871,1,11431407.8,9691052.3,0,0,97.8,195.4,102.6,200.2,2147.4,9.9
Senior Living Community,1,25,107730,1,5476232.7,8805800.2,0,0,168.6,290.1,173.6,291.1,1249.9,14.8
Office,2.5,51,95800,1,7026590.9,0,0,0,73.3,205.4,73.9,206.8,1003.6,10.5
Office,4,91,80000,1,1373370.9,2444855.2,0,0,47.7,80.2,51.8,84.4,326,4.1
Multifamily Housing,4,88,75000,1,1114473.8,1792729.6,0,0,38.8,66.7,41.1,69.2,254.4,3.4
Office,3,62,80219,1,2086129.6,2397779.5,0,0,83.6,155.9,87.6,158.7,425.3,7.9
Multifamily Housing,4,98,232167,1,2934893.6,5198228.9,0,0,50.5,84.9,52.8,86,695.3,4.3
Office,1,8,138823,1,18844155.3,0,0,0,155.5,435.5,155.5,435.5,2691.4,22.2
Multifamily Housing,3.5,74,78000,1,2298237.9,1179592.2,0,0,44.6,98.4,45.8,99.8,390.9,5
Office,1,11,66030,1,5905230.3,15390,0,0,89.7,250.7,89.7,250.7,844.2,12.8
Office,3.5,57,78868,1,2745899.1,4617300.3,0,0,93.4,159,99.4,165.3,637.4,8.1
Office,3,64,149011,1,3537892.6,14721300,0,0,122.5,170.2,130.4,177.6,1287.2,8.6
Multifamily Housing,3.5,78,96400,1,1926724.7,3916960.5,0,0,60.6,98.6,63.4,100.5,483.2,5
Office,4,84,158114,1,5220745.6,4188645.2,0,0,60.9,123,63.6,125.1,968.1,6.3
Senior Living Community,1,2,100866,1,3683660,10007897.9,0,0,196.5,298.9,206.6,305.3,1057.7,15.2
Multifamily Housing,3,70,77966,1,2492529.8,2406072.4,0,0,62.8,121.9,64.8,123.7,483.8,6.2
Medical Office,1,11,73327,1,3769284.2,9567749.8,0,0,181.9,280.9,178.6,273.9,1046.5,14.3
Senior Living Community,1,10,99590,1,4513274.2,11991300.2,0,0,226.6,346.3,238.5,355.9,1281.5,17.6
Office,2.5,53,63034,1,1716637.9,3261346.2,0,0,79,130.6,85.5,137.4,418.4,6.6
Multifamily Housing,1,20,205118,1,8999644.7,2382212.9,0,0,66.1,160.9,70.3,172.1,1411.9,8.2
Multifamily Housing,4,94,138110,1,1564141.3,4501061.9,0,0,58.9,88.4,63.6,93,462.5,4.5
Multifamily Housing,3.5,71,86526,1,1955509.3,2279361.7,0,0,76.9,142.9,79.8,143.2,400.4,7.3
Office,4,96,54741,1,654309.7,1783381.1,0,0,44.5,67.7,48.3,71.7,188.2,3.4
Multifamily Housing,4,99,100200,1,1210020.8,2610246.2,0,0,38.1,61.2,40.3,62.6,311.5,3.1
Office,4,98,91680,1,918681,2458706.2,0,0,36.8,56.2,39.1,57.9,261.8,2.9
Office,4,100,117780,1,316374.2,0,0,0,2.7,7.5,0,0,45.2,0.4
Multifamily Housing,3,64,180784,1,3818096.2,5282873.7,0,0,62.4,111.4,65.4,113,825.9,5.7
Multifamily Housing,4,87,63139,1,1467473.6,1372155.2,0,0,45,87.9,45,86.3,282.5,4.5
Multifamily Housing,4,78,159623,1,3076931.4,3700884.5,0,0,58.4,107.6,61.1,109.7,636,5.5
Multifamily Housing,3.5,54,240000,1,5590995.3,8963956.9,0,0,77.4,133.3,81.2,136.5,1274.7,6.8
Multifamily Housing,3,70,69720,1,1206722,3170442.9,0,0,62.8,96.2,65.8,99.4,340.7,4.9
Multifamily Housing,3.5,75,197771,1,2457911.7,8643844.6,0,0,78.5,112.9,84,117.3,810.2,5.7
Multifamily Housing,4,88,78288,1,1345194.6,2847560.7,0,0,53.6,86.3,55.8,87.4,343.4,4.4
Multifamily Housing,4,98,175608,1,2586804.4,2703920.5,0,0,40.5,77.2,41.6,76.9,513.1,3.9
Multifamily Housing,3.5,52,50736,1,726553.3,3609981,0,0,85.5,114.8,92.2,121.9,295.5,5.8
Multifamily Housing,4,71,163722,1,1221261.3,5190930,0,0,99.2,137.3,107.3,143.8,450.1,7
Multifamily Housing,4,98,201600,3,331969,10178499.7,0,0,52.1,57.6,58,63.8,588,2.9
Multifamily Housing,1.5,36,108010,1,4719021.2,1054522.8,0,0,53.5,132.6,54.9,136.7,730,6.8
Multifamily Housing,4,94,116400,1,1892657.6,3488707.9,0,0,46.2,77,49.2,80.1,455.6,3.9
Multifamily Housing,1.5,40,59904,1,112123.2,6035621.1,0,0,102.6,111,114.8,123.9,336.6,5.6
Multifamily Housing,4,79,74884,1,1542851.8,4811119.5,0,0,84.9,125.1,93.3,134,475.9,6.4
Multifamily Housing,3,43,113088,1,3706946.9,6681891.3,0,0,91.9,153.8,96.9,157.6,884.4,7.8
Multifamily Housing,4,83,75435,1,588679.2,3757622.2,0,0,57.6,74.2,62.3,78.2,283.7,3.8
Multifamily Housing,1,2,46000,1,1584762.1,3988369.7,0,0,121.2,187.5,131.2,198.1,438.2,9.5
Multifamily Housing,4,86,75000,1,1084417.5,1812121.4,0,0,46.3,79,48.8,81.6,251.1,4
Multifamily Housing,3.5,79,270000,1,6331433.4,9694161.4,0,0,59.4,103.4,62.3,105.8,1419.2,5.3
Multifamily Housing,4,91,288535,1,4531521.6,7688290.1,0,0,55.2,93.8,58.7,97.4,1055.6,4.8
Multifamily Housing,1.5,39,72842,1,2338840,2409376.1,0,0,81.2,155.3,85.4,159.5,462,7.9
Multifamily Housing,1,5,123571,1,4141680.1,10379528.9,0,0,132.2,204.8,137.5,207.9,1142.8,10.4
Multifamily Housing,3.5,74,99016,1,1747764.2,4008171.8,0,0,78.8,124.7,83.1,127.5,462.5,6.3
Multifamily Housing,3,62,198033,1,3467499.6,6587104.4,0,0,69,114.1,72.3,116.7,845.1,5.8
Multifamily Housing,4,81,64957,1,630483,3404999.7,0,0,76.7,101.5,83.8,108.8,270.9,5.1
Multifamily Housing,3,65,80457,1,1839711.5,3167877.7,0,0,62.2,105.4,63.2,104.5,431,5.4
Multifamily Housing,3.5,55,225000,1,12213776,11183451.3,0,0,104,204.2,109.6,210,2338.5,10.4
Multifamily Housing,1,8,52240,1,2312532.7,2989500,0,0,101.5,183.6,106.6,186.4,487.4,9.3
Senior Living Community,2,26,100448,1,3604378.8,11572841.6,0,0,169,247.7,179.3,256.3,1129.5,12.6
Multifamily Housing,3,62,176040,1,3772931.6,5334707.4,0,0,73.8,131,77.3,134,822.2,6.7
Multifamily Housing,3.5,80,92181,1,1675278.7,2497591.9,0,0,58.8,103.1,61.2,104.9,371.9,5.2
Multifamily Housing,1,14,77800,1,2926001.5,3714940.8,0,0,85.4,155.4,88.9,158.7,615.2,7.9
Multifamily Housing,3.5,80,126392,1,2585937.7,4256771.2,0,0,71.3,122,73.8,122.4,595.4,6.2
Multifamily Housing,3.5,78,53252,1,454328.3,2972104.5,0,0,64.3,82.5,64.3,82.5,222.8,4.2
Multifamily Housing,4,98,79000,1,1143343.8,1792216.8,0,0,37.2,64.3,39.1,65.7,258.5,3.3
Multifamily Housing,4,64,80607,1,1540787.5,2788565.5,0,0,62.9,105.3,65.8,108.3,368.2,5.4
Multifamily Housing,1.5,34,50000,1,650470.5,4441348.7,0,0,101.8,129.7,108.5,136.2,328.8,6.6
Multifamily Housing,3.5,79,86600,1,2546706.9,1387384.3,0,0,45.4,99.2,48.1,105.6,437.4,5.1
Office,1.5,35,160400,1,11945944.3,4309498,0,0,101.3,236.7,105.3,242.6,1935.1,12.1
Hotel,2,44,135000,1,7896463.3,3316899.9,0,0,83.1,189.6,86.9,198.1,1304,9.7
Office,3.5,76,60892,1,1335736.9,1543931.3,0,0,47.3,88,49.9,90,272.8,4.5
Office,4,64,92168,1,1926657.5,4652030.2,0,0,71.4,111.5,77.3,117.8,522.3,5.7
Office,4,65,64630,1,3310364,0,0,0,51.2,143.4,52,145.6,472.8,7.3
Multifamily Housing,1,2,72150,1,3440056.9,4667376.6,0,0,112.4,201.4,119.9,211.4,739.2,10.2
Office,2.5,60,80610,1,2784983.6,3074557.2,0,0,72.7,136.8,77.2,141.5,561.1,7
Retail Store,3.5,51,85787,1,3416053.5,1152408,0,0,79.7,187.9,81.2,186.8,549.1,9.6
Medical Office,3.5,55,127100,1,8446542.5,1268546.6,0,0,76.4,196.6,78.8,203.1,1273.8,10
Multifamily Housing,3,70,155000,1,2399393.1,6566707.5,0,0,71.7,108.9,73.9,110,691.5,5.5
Office,4,76,214800,1,6513450,5458422.7,0,0,55.7,111.6,57.7,113.7,1220.2,5.7
Office,3.5,79,154373,1,6293123.5,0,0,0,40.8,114.1,43.4,121.6,898.8,5.8
Office,3.5,77,52284,1,958271.5,2621045.4,0,0,68.5,104,74.5,108.4,276.1,5.3
Multifamily Housing,4,94,706415,1,18885188,10118685,0,0,44.1,96.6,44.1,96.6,3234.8,4.9
Hotel,4,80,638407,1,20365975.5,28556100,0,0,89.6,159.3,93.3,163.2,4425.6,8.1
Multifamily Housing,1,25,201938,1,8146733.5,4024690.2,0,0,81.7,181.5,84.5,186,1377.3,9.2
Medical Office,3.5,58,96180,1,4324870.4,5242129.1,0,0,99.5,183.1,104.5,186.3,896.1,9.3
Multifamily Housing,4,99,284000,1,3633111.2,7194100.3,0,0,43.3,70.9,45.2,71.9,901,3.6
Multifamily Housing,1.5,35,250225,1,8159545.5,9823206.9,0,0,71.9,132.5,74.3,133.2,1687.2,6.7
Senior Living Community,1,10,152570,1,7953467.5,18925857.2,0,0,199.6,313,197.8,307.9,2141.2,15.9
Multifamily Housing,4,90,243200,1,4213690.3,10838356,0,0,61.9,95.3,65.2,96.9,1177.5,4.8
Office,4,100,63000,1,353432.7,0,0,0,5.6,15.7,0,0,50.5,0.8
Residence Hall/Dormitory,3.5,72,201402,1,3104776,0,11797556,0,74,113.6,80.3,121.2,1226.8,6.1
K-12 School,3.5,72,60474,1,750085.9,3239350,0,0,66,91,72.7,98,279.2,4.6
K-12 School,1,10,290134,1,17058004,12898849.9,0,0,103.3,211.3,106.7,212.2,3121.5,10.8
Multifamily Housing,4,91,112734,1,2215339.9,3173110.2,0,0,49.5,87.6,49.3,86.9,484.9,4.5
Multifamily Housing,4,98,314000,1,5006195.6,9247645.8,0,0,50.7,84.4,53.5,86.1,1206.2,4.3
Multifamily Housing,1,1,113711,1,4610236.4,9073841.7,0,0,149.8,245.6,157.7,250.7,1140.4,12.5
Office,4,88,310704,1,6541472.8,6083872.9,0,0,45.8,89.7,47.7,91.1,1257.4,4.6
Multifamily Housing,2.5,58,284850,1,5420589.8,21319149.6,0,0,93.9,131.9,100,137.2,1906.6,6.7
Medical Office,4,77,212511,1,8225325.5,0,14865300,0,108.7,192.5,106.6,186.9,2161.8,10.2
Multifamily Housing,2,44,129844,1,3293728.8,5060447.1,0,0,64.3,111.9,66.9,113.2,739.2,5.7
Multifamily Housing,4,87,137394,1,752195.9,9036446.7,0,0,71.2,84.4,78.6,92.4,587.4,4.3
Multifamily Housing,3.5,76,249910,1,4407543.1,13475728.1,0,0,77,114,81.5,118.7,1345.3,5.8
Multifamily Housing,2.5,57,362107,1,5994321,15914964.5,0,0,73.2,112,77.4,114.3,1701.5,5.7
Multifamily Housing,4,99,921603,1,10651100.5,19019498.2,0,0,40.3,67.6,43,69.6,2531.5,3.4
Multifamily Housing,3,42,403018,1,10180009.1,11882293.2,0,0,80.8,150.1,83.6,151.3,2085.1,7.6
Multifamily Housing,3.5,78,311326,2,5147735.6,14745590,0,0,76.7,115.3,81.7,119.4,1518.4,5.9
Multifamily Housing,3.5,60,281431,1,7115053.8,9416423.2,0,0,72.5,130.7,75.8,133.6,1516.4,6.6
Multifamily Housing,3.5,60,165000,1,4056680.3,3339424.8,0,0,59.2,118.9,62.1,122.3,756.8,6.1
K-12 School,4,82,319900,1,4712115.3,14032911.5,0,0,58.6,87.3,64.2,93.2,1418.4,4.4
Hotel,4,88,2054590,1,61962977.7,93922213.9,0,0,75.9,132.4,80.3,137,13838.6,6.7
Multifamily Housing,3,63,604881,1,10766784.4,21240047.2,0,0,61.9,101.4,66.2,105.1,2665.9,5.2
Multifamily Housing,2.5,54,336679,1,2972245.7,30529039.3,0,0,110.2,132.8,120.2,142.8,2046.1,6.7
Hotel,2.5,39,311794,1,10493230.7,39552299.2,0,2444244,168.3,234.6,177.3,244,3728.3,12
Multifamily Housing,3,43,198848,1,6754821.7,8849182.9,0,0,78.5,141.8,79.9,143.4,1434.8,7.2
Hotel,3.5,75,314254,1,12370530.1,15896300.2,0,0,89.9,163.3,93.7,165.7,2611.2,8.3
Office,4,90,252250,1,8100661.2,0,0,0,32.1,89.9,34.1,95.4,1157,4.6
Office,4,90,516010,1,11201435.6,0,0,0,43.8,122.5,45.4,127.1,1599.9,6.2
Office,3.5,75,1436222,1,84020090.6,5460129.2,0,0,65.6,176.7,0,0,12294.5,9
Multifamily Housing,1,9,415260,1,23009937.7,17450000,0,0,97.4,199.3,101.5,203.6,4213.3,10.1
Office,2.5,60,1134375,1,48793271.9,0,0,11795268.2,55.8,135.7,57,142.4,7590.6,7
Hotel,4,74,891733,1,27050540.7,32296201.2,0,0,83.6,154.5,87.2,158.3,5578.9,7.9
Multifamily Housing,1.5,37,458305,1,13005455.6,27222116.7,0,0,93.5,151,98.3,154.5,3303.4,7.7
Hotel,3.5,80,600700,1,14795858.2,42369075.4,0,0,95.2,143,99.7,146.2,4363.7,7.3
Hotel,4,69,437452,1,18931130.6,8617640.1,0,0,72.2,162.7,74.7,166.6,3161.6,8.3
Multifamily Housing,2,46,332586,1,7540090.1,14675596.7,0,0,85.2,140,90.7,144.3,1856.4,7.1
Hotel,3,45,304200,1,14443855.8,18244239.8,0,0,109,198.7,115,205,3032,10.1
Hotel,4,100,710000,1,8442400.3,8442749.8,0,0,24.1,46.4,24.1,46.4,1654.2,2.4
Office,4,81,243166,1,7625707.4,7403739.7,0,0,61.8,119.8,65.6,123.7,1482.4,6.1
Hotel,4,82,356929,1,7151807.9,18413636.9,0,0,89.1,137.2,93.1,141.4,1999.5,7
Office,2.5,60,283780,1,8858889.5,14595079.4,0,0,84.2,144,90.5,150.7,2040.5,7.3
Office,2.5,56,231521,1,9055216,10321457.6,0,0,83.7,156.3,89,161.9,1841.5,8
Multifamily Housing,2.5,39,393305,1,8585441.6,13438323.7,0,0,96.1,166.5,99.6,167.2,1940,8.5
Hotel,2,27,243373,1,13037484,21153739.1,0,0,140.5,241.3,147.4,248.5,2985.7,12.3
Office,3.5,72,262214,1,8475756,7547269.3,0,0,63.6,125.7,67.8,130.1,1611.4,6.4
Office,4,81,249062,1,4610352.4,7979673.9,0,5067816.2,70.9,104,72.8,106.3,1349.4,5.4
Office,3.5,73,219636,1,6648578.8,10615900.2,0,0,78.6,135.5,84.5,141.7,1513.5,6.9
Office,2.5,55,236216,1,14592851,0,0,0,61.8,173,63.5,177.9,2084.2,8.8
Hotel,4,64,160000,1,5551102.2,10158199.8,0,0,98.2,163.8,102.8,168.6,1332.4,8.3
Multifamily Housing,3.5,80,188400,1,4097651.6,5147647.2,0,0,66.2,120.8,66.6,119,858.7,6.1
Office,4,75,281522,1,12022966.8,309253.7,0,0,43.8,120.7,43.8,120.7,1733.6,6.2
Multifamily Housing,3,45,258704,1,7806987,8853902.5,0,0,76.2,142.5,79.6,146,1585.3,7.3
Hotel,4,78,949542,1,34911140.4,46577388.5,0,0,85.8,154.5,88.9,154.8,7460.2,7.9
Multifamily Housing,1,23,428000,2,20620695,2595164.3,0,0,57.6,149.9,58.3,150.7,3083,7.6
Multifamily Housing,4,81,263000,1,4830726.7,10637876.6,0,0,58.8,93.9,61.9,95.7,1255,4.8
Multifamily Housing,1.5,39,206150,1,5484537.5,13285366.5,0,0,91,142.2,95.2,145.2,1489,7.2
Multifamily Housing,4,99,1193624,1,17165471.7,20162201,0,0,37.6,69.7,39.3,71.2,3522.6,3.5
Multifamily Housing,1,26,221050,1,5025452.9,14579184,0,0,102.2,153.2,107.4,156.3,1492.1,7.8
Multifamily Housing,2,44,760200,2,16757348.8,48602165.3,0,0,89.9,134.8,96.3,140.3,4974.9,6.8
Multifamily Housing,4,100,269400,1,696416.5,13414226.4,0,0,52.4,59.5,57.2,64.8,812,3
Supermarket/Grocery Store,3,67,65058,1,6855994.3,6569478.2,0,0,206.4,401.1,209.3,402.6,1328.2,20.4
Multifamily Housing,1,15,608318,1,21837905.5,4183149,0,0,58.5,147.3,58.8,147.7,3341.2,7.5
Multifamily Housing,1,29,234695,1,4172244.8,18849262.7,0,0,98.1,134.1,106.9,143.3,1597.1,6.8
Multifamily Housing,3,62,149524,1,3076848.5,7066575,0,0,67.8,107.2,72,110.4,814.8,5.4
K-12 School,1.5,39,218067,1,4010751.4,19071848.1,0,0,105.9,143.3,120.5,158.7,1585.8,7.3
Multifamily Housing,3.5,58,359018,1,4630531,23241350.1,0,0,77.6,104.1,83.8,109.7,1895.8,5.3
Multifamily Housing,1,18,195459,1,1437514.2,26713598.7,0,0,147,167.5,163.8,184.7,1624.2,8.5
K-12 School,1,20,130848,1,4743475,6230440.3,0,0,83.9,151.5,88,155.9,1008.4,7.7
K-12 School,1,25,272651,2,13159224.2,8797249.6,0,0,80.5,169,86.7,179.2,2346.7,8.6
Multifamily Housing,2,42,203603,1,5773103.3,4016699.8,0,0,48.1,99.3,50.2,103.9,1025.2,5
Multifamily Housing,4,62,370974,1,6901145.3,21715699,0,0,86.5,127.3,91.4,130.2,2139.1,6.5
Multifamily Housing,3,68,308244,1,5716676.3,11644771.9,0,0,74,120.3,78.7,122.9,1435,6.1
Multifamily Housing,4,74,126400,1,2776913.2,4837692.5,0,0,72.7,122.7,77.7,127.4,653.6,6.2
Multifamily Housing,2.5,56,596499,1,12047737.9,19415700,0,0,62.1,106.9,64.7,108.2,2752,5.4
Multifamily Housing,4,70,279955,1,6056416,14497675.3,0,0,73.4,114.9,78.4,119.1,1635.1,5.8
Multifamily Housing,1,27,143463,1,4140932.9,11046531.4,0,0,105.9,161.7,111.3,164.5,1178.2,8.2
Multifamily Housing,3.5,71,210619,14,7241666.3,5765081.9,0,0,61.8,125,63.8,127.9,1340.5,6.4
Office,3,46,163900,1,12066582.4,0,0,0,73.6,206.1,73.6,206.1,1723.4,10.5
Multifamily Housing,2,45,466294,2,10640243.5,18758296.2,0,0,85.5,144,89.2,145.9,2516.1,7.3
Multifamily Housing,4,100,258445,1,1226377.9,7831932.3,0,0,36.2,46.6,40.6,51.2,591.2,2.4
Multifamily Housing,3.5,77,374357,1,6246788.5,14617246.6,0,0,70.9,111.6,75.9,115.4,1668.6,5.7
Multifamily Housing,1,11,451466,2,16763196.9,19755812.6,0,0,94.3,174.8,94.3,174.8,3443.6,8.9
Multifamily Housing,1,5,313446,1,17835400.9,4462689.2,0,0,93.4,228.9,98.3,241.4,2784.4,11.7
Multifamily Housing,4,79,204401,1,3876564.3,12146700.3,0,0,78.4,115.5,83.6,120.4,1198.8,5.9
Multifamily Housing,2,23,353505,1,11185201.3,13198341.6,0,0,84.8,157,87.9,159.3,2298.6,8
Multifamily Housing,2.5,56,173883,1,3833801.7,12088732.3,0,0,91.6,134.7,97.4,139,1189.7,6.8
Multifamily Housing,2.5,60,810159,1,15871992.8,39124982,0,0,76.7,119.2,80.8,122.6,4345.1,6.1
Multifamily Housing,2.5,51,552372,1,19043627.6,7757281.3,0,0,58.2,133.4,60.3,138.8,3132,6.8
Multifamily Housing,2.5,53,336679,1,2787141,31093957.7,0,0,111.5,133.1,121.6,143.2,2049.6,6.7
Multifamily Housing,3.5,55,289267,1,4130690,24901001.2,0,0,100.4,130.4,109.6,140.1,1912.6,6.6
Multifamily Housing,2,24,289267,1,4915381.8,31046600.2,0,0,124.3,160.3,135.3,170.2,2351.1,8.1
Multifamily Housing,2,50,309457,1,2824740.5,31457673.8,0,0,112.8,134.7,123,144.8,2074.3,6.8
Multifamily Housing,2,21,289267,1,5207111.2,31490100.6,0,0,126.9,164.7,138.5,176.2,2416.3,8.4
Multifamily Housing,3.5,58,413455,4,9727035.4,24586709.3,0,0,84.8,131.2,91.8,137.6,2695.2,6.7
Multifamily Housing,4,89,2409540,4,47275648.4,86948189.2,0,0,63.6,106,66.1,107.2,11370.5,5.4
Multifamily Housing,1.5,31,752716,1,19680979,27741482.7,0,0,82.7,146.8,82.7,146.8,4284.4,7.5
Multifamily Housing,1,5,629694,1,38336379,8917661,0,0,82.1,202.8,82.4,203.1,5949.1,10.3
Multifamily Housing,1,6,443853,1,23915813.5,18756498.8,0,0,96.1,195.2,102.2,206.7,4412.1,9.9
Retail Store,1,9,176600,1,13956571,503500,0,0,81.9,224.3,82.2,224.6,2020.1,11.4
Multifamily Housing,4,81,1111604,2,20079899.8,36431562.1,0,0,61,102,63.4,103.2,4803,5.2
Multifamily Housing,3,66,370285,1,7900015.1,14833121.1,0,0,68.8,114.1,68.8,114.1,1916.2,5.8
Hotel,4,86,421989,1,15992658.2,14485418.4,0,0,72.2,142.2,72.6,140.8,3053.6,7.2
Multifamily Housing,2.5,40,626068,2,13453004.2,37068970.6,0,0,86.5,131.1,92.4,135.3,3890.4,6.7
Multifamily Housing,2,17,180994,1,8022789.1,2896398,0,0,72.2,168.5,73.6,172.5,1299.7,8.6
Multifamily Housing,1.5,35,218500,1,9107692.5,4595453.8,0,0,62.7,138.8,66.3,146.8,1544.9,7.1
